iter	Passed	Remaining
0	47	13359
1	49	7026
2	50	4761
3	51	3628
4	52	2948
5	53	2494
6	54	2169
7	55	1924
8	56	1735
9	57	1584
10	59	1465
11	60	1360
12	61	1272
13	62	1196
14	63	1131
15	64	1073
16	65	1023
17	66	977
18	67	936
19	69	919
20	71	899
21	74	889
22	77	883
23	78	854
24	81	840
25	82	814
26	82	789
27	83	767
28	84	746
29	85	726
30	86	707
31	87	689
32	88	673
33	89	657
34	90	642
35	91	628
36	92	615
37	93	602
38	93	590
39	94	578
40	95	567
41	96	556
42	97	546
43	98	537
44	99	528
45	100	519
46	101	510
47	102	502
48	103	494
49	103	485
50	104	477
51	105	468
52	105	460
53	106	453
54	106	445
55	107	437
56	108	430
57	108	423
58	109	416
59	109	410
60	110	404
61	111	397
62	111	391
63	112	386
64	113	381
65	114	376
66	114	372
67	115	367
68	121	379
69	126	388
70	130	391
71	132	390
72	134	389
73	136	388
74	139	387
75	140	385
76	142	382
77	144	380
78	145	378
79	147	376
80	148	373
81	150	369
82	151	366
83	152	363
84	154	361
85	155	358
86	157	355
87	158	353
88	159	349
89	160	346
90	161	343
91	162	339
92	163	336
93	164	333
94	165	329
95	166	326
96	167	323
97	168	320
98	169	316
99	170	313
100	171	310
101	172	307
102	173	304
103	174	301
104	175	298
105	175	295
106	176	292
107	177	289
108	178	286
109	179	283
110	179	280
111	180	277
112	181	274
113	182	271
114	190	280
115	194	282
116	198	282
117	200	281
118	203	282
119	206	281
120	207	280
121	209	278
122	211	276
123	212	274
124	214	272
125	215	270
126	217	268
127	218	266
128	219	264
129	221	261
130	222	259
131	223	257
132	225	255
133	226	253
134	227	250
135	228	248
136	229	246
137	230	244
138	231	241
139	232	239
140	233	236
141	235	235
142	237	234
143	239	233
144	241	231
145	242	229
146	243	227
147	244	224
148	245	222
149	246	220
150	247	217
151	248	215
152	251	215
153	259	218
154	265	221
155	269	221
156	272	220
157	273	218
158	275	216
159	277	215
160	279	213
161	281	211
162	282	209
163	284	207
164	285	205
165	286	203
166	288	201
167	289	199
168	290	197
169	292	195
170	293	193
171	294	191
172	295	189
173	296	187
174	297	185
175	298	183
176	299	181
177	300	179
178	301	177
179	303	175
180	304	173
181	304	170
182	305	168
183	306	166
184	307	164
185	308	162
186	309	160
187	310	158
188	310	156
189	311	154
190	312	152
191	313	150
192	314	148
193	315	146
194	322	147
195	328	147
196	331	146
197	333	144
198	335	143
199	338	142
200	339	140
201	341	138
202	343	136
203	345	135
204	346	133
205	348	131
206	349	130
207	351	128
208	352	126
209	354	124
210	355	122
211	356	121
212	357	119
213	358	117
214	360	115
215	361	113
216	362	111
217	363	110
218	364	108
219	365	106
220	366	104
221	367	102
222	368	100
223	369	98
224	370	97
225	371	95
226	372	93
227	372	91
228	373	89
229	374	87
230	375	86
231	376	84
232	377	82
233	378	80
234	378	78
235	380	77
236	380	75
237	385	74
238	395	74
239	400	73
240	404	72
241	409	70
242	413	69
243	416	68
244	417	66
245	419	64
246	420	63
247	422	61
248	423	59
249	424	57
250	426	56
251	429	54
252	431	52
253	433	51
254	434	49
255	435	47
256	436	45
257	437	44
258	438	42
259	439	40
260	440	38
261	441	37
262	441	35
263	442	33
264	443	31
265	444	30
266	445	28
267	446	26
268	446	24
269	447	23
270	448	21
271	454	20
272	460	18
273	463	16
274	466	15
275	468	13
276	470	11
277	472	10
278	474	8
279	476	6
280	478	5
281	479	3
282	481	1
283	483	0
